City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,san pedro pochutla,15.7333,-96.4667,29.84,43,94,3.36,MX,2024-02-01
78,lihue,21.9789,-159.3672,24.3,83,100,1.54,US,2024-02-01
79,papatowai,-46.5619,169.4708,11.89,91,100,1.85,NZ,2024-02-01
80,nar'yan-mar,67.6713,53.087,-2.72,93,100,7.6,RU,2024-02-01
81,banff,51.1762,-115.5698,11.57,46,33,2.06,CA,2024-02-01
82,beas de segura,38.2524,-2.8888,10.75,47,9,1.25,ES,2024-02-01
83,longyearbyen,78.2186,15.6401,-10.09,73,75,2.57,SJ,2024-02-01
84,karpinsk,59.7654,60.0085,-19.88,100,100,1.2,RU,2024-02-01
85,oyama,36.3,139.8,6.44,38,92,2.57,JP,2024-02-01
86,namibe,-15.1961,12.1522,25.19,81,100,5.01,AO,2024-02-01
87,hwange,-18.3693,26.5019,20.88,85,74,1.22,ZW,2024-02-01
88,hamilton,39.1834,-84.5333,13.69,59,0,6.17,US,2024-02-01
89,les cayes,18.2,-73.75,25.49,73,93,4.57,HT,2024-02-01
90,klyuchi,52.2667,79.1667,-6.75,93,100,4.41,RU,2024-02-01
91,bethel,41.3712,-73.414,6.53,71,100,3.6,US,2024-02-01
92,keetmanshoop,-26.5833,18.1333,25.51,50,100,7.72,NA,2024-02-01
93,yibin,28.7667,104.6238,11.29,69,100,0.82,CN,2024-02-01
94,enewetak,11.3474,162.3373,26.27,83,99,12.55,MH,2024-02-01
95,sola,-13.8833,167.55,28.73,78,100,5.47,VU,2024-02-01
96,tommot,58.9564,126.2925,-33.02,99,100,0.81,RU,2024-02-01
97,yunyang,33.4474,112.7142,-3.02,58,100,4.34,CN,2024-02-01
98,santa marta,11.2408,-74.199,34.03,65,20,6.17,CO,2024-02-01
99,hawaiian paradise park,19.5933,-154.9731,27.16,74,0,1.54,US,2024-02-01
100,invercargill,-46.4,168.35,11.12,97,100,1.79,NZ,2024-02-01
101,mount pleasant,32.7941,-79.8626,17.39,64,0,5.14,US,2024-02-01
102,afaahiti,-17.75,-149.2833,28.93,75,66,7.4,PF,2024-02-01
103,constantia,44.1833,28.65,1.5,57,0,4.09,RO,2024-02-01
104,polyarnyy,69.1989,33.4478,-0.93,94,100,8.62,RU,2024-02-01
105,kismayo,-0.3582,42.5454,26.26,84,100,5.29,SO,2024-02-01
106,sao joao da barra,-21.6403,-41.0511,27.05,83,100,3.75,BR,2024-02-01
107,villa canas,-34.0057,-61.6076,40.57,13,33,4.37,AR,2024-02-01
108,malvan,16.0667,73.4667,20.84,81,10,4.28,IN,2024-02-01
109,stephenville,32.2207,-98.2023,22.74,51,0,5.14,US,2024-02-01
110,zag,46.9441,99.165,-26.26,86,20,1.71,MN,2024-02-01
111,albany,42.6001,-73.9662,3.83,85,100,0.89,US,2024-02-01
112,uturoa,-16.7333,-151.4333,27.87,71,93,6.14,PF,2024-02-01
113,alice springs,-23.7,133.8833,23.45,20,0,3.09,AU,2024-02-01
114,vila velha,-20.3297,-40.2925,27.97,82,20,6.69,BR,2024-02-01
115,college,64.8569,-147.8028,-36.82,65,20,0.0,US,2024-02-01
116,dalhart,36.0595,-102.5133,21.01,18,0,6.69,US,2024-02-01
